ID: 6b3cca46-4ef7-471a-9232-2bc0fcd7013e

GOLD TABLE:
|           | Dataset                                                                                      | Neural Network Architecture                                  | Year     |
| paper_4  | ['Infrastructure development: The novel pooling-based deep recurrent neural network in this paper outperforms ARIMA, SVR, and classical deep RNN in terms of RMSE for household load forecasting, which can potentially be used for infrastructure development in smart grids.']                                                                                                                                                                                                    | ['The proposed pooling-based deep recurrent neural network in this paper outperforms ARIMA, SVR, and classical deep RNN in terms of RMSE for household load forecasting. However, it does not provide quantitative results on energy savings or cost reductions.']                                                                                                | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_5  | ['Load switching: The proposed hybrid deep learning neural network in this paper improves the prediction accuracy for single household electric power consumption, which can be helpful for load switching in smart grids.']                                                                                                                                                                                                                                                        | ['The proposed hybrid deep learning neural network in this paper outperforms most of the existing approaches, including auto-regressive integrated moving average (ARIMA) model, persistent model, support vector regression (SVR), and LSTM alone. However, it does not provide quantitative results on energy savings or cost reductions.']                     | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_6  | ['Infrastructure development: The proposed deep learning model based on an autoencoder in this paper not only has a better performance in energy prediction but also improves the capacity to explain the results of prediction. This model could potentially be used for infrastructure development in smart grids.']                                                                                                                                                              | ['The proposed deep learning model based on an autoencoder in this paper not only has a better performance in energy prediction but also improves the capacity to explain the results of prediction. However, it does not provide quantitative results on energy savings or cost reductions.']                                                                    | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_7  | ['Load switching: The proposed Electric Energy Consumption Prediction model utilizing the combination of Convolutional Neural Network (CNN) and Bi-directional Long Short-Term Memory (Bi-LSTM) outperforms the state-of-the-art models for the IHEPC dataset with several variants. This model could potentially be helpful for load switching in smart grids.']                                                                                                                   | ['The proposed Electric Energy Consumption Prediction model utilizing the combination of Convolutional Neural Network (CNN) and Bi-directional Long Short-Term Memory (Bi-LSTM) outperforms the state-of-the-art models for the IHEPC dataset with several variants. However, it does not provide quantitative results on energy savings or cost reductions.']    | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_8  | ['Infrastructure development: The proposed hybrid CNN with the LSTM-AE model in this paper outperforms other state-of-the-art forecasting methods over the UCI residential building dataset. This model could potentially be used for infrastructure development in smart grids.']                                                                                                                                                                                                  | ['The proposed hybrid CNN with the LSTM-AE model in this paper outperforms other state-of-the-art forecasting methods over the UCI residential building dataset. However, it does not provide quantitative results on energy savings or cost reductions.']                                                                                                        | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_9  | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | ['N/A']                                                                                                                                                                                                                                                                                                                                                           | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_10 | ['Load switching: The proposed Sequence to Sequence Recurrent Neural Network (S2S RNN) with Attention in this paper outperforms other models for electrical load forecasting, which can be beneficial for load switching in smart grids.']                                                                                                                                                                                                                                          | ['The proposed Sequence to Sequence Recurrent Neural Network (S2S RNN) with Attention in this paper outperforms other models for electrical load forecasting. However, it does not provide quantitative results on energy savings or cost reductions.']                                                                                                           | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_11 | ['Load switching: The proposed ultra-short term load forecasting method based on federated learning in this paper effectively generates accurate load forecasting and reduces the data security risk. This method could potentially be used for load switching in the power Internet of Things.']                                                                                                                                                                                   | ['The proposed ultra-short term load forecasting method based on federated learning in this paper effectively generates accurate load forecasting and reduces the data security risk. However, it does not provide quantitative results on energy savings or cost reductions.']                                                                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_12 | ["Load switching: The proposed LSTM-based federated learning method in this paper can accurately predict short-term household load while protecting the privacy of residents' electricity data. This method could potentially be used for load switching in smart grids."]                                                                                                                                                                                                          | ["The proposed LSTM-based federated learning method in this paper can accurately predict short-term household load while protecting the privacy of residents' electricity data. However, it does not provide quantitative results on energy savings or cost reductions."]                                                                                         | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_13 | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | ['N/A']                                                                                                                                                                                                                                                                                                                                                           | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_14 | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | ['N/A']                                                                                                                                                                                                                                                                                                                                                           | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_15 | ['Load switching: The proposed architecture in this paper exploits Federated Learning and Edge Computing capabilities to build a generalized model that is re-distributed for improved forecasting at the edge. This architecture could potentially be used for load switching in smart grids.']                                                                                                                                                                                    | ['The proposed architecture in this paper exploits Federated Learning and Edge Computing capabilities to build a generalized model that is re-distributed for improved forecasting at the edge. However, it does not provide quantitative results on energy savings or cost reductions.']                                                                         | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_16 | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | ['The proposed differential privacy-enhanced Federated Learning (DPEFL) method in this paper can create models with high forecasting performance while achieving different levels of privacy guarantees. However, it does not provide quantitative results on energy savings or cost reductions.']                                                                | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_17 | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | ['The proposed AMI-FML framework in this paper can increase forecasting accuracy while preserving the data privacy of the end-users. However, it does not provide quantitative results on energy savings or cost reductions.']                                                                                                                                    | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_18 | ['Infrastructure development: The proposed framework in this paper uses IoT-generated data to derive accurate thermal comfort and electricity load forecast models for smart building control. The framework takes advantage of the use of edge computing and federated learning, which permits data volume increase and data diversity in a training model while preserving privacy. This framework could potentially be used for infrastructure development in smart buildings.'] | ['The proposed framework in this paper uses IoT-generated data to derive accurate thermal comfort and electricity load forecast models for smart building control, and takes advantage of the use of edge computing and federated learning. However, it does not provide quantitative results on energy savings or cost reductions.']                             | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_19 | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | ['The proposed deep federated adaptation (DFA) approach in this paper can achieve the best forecasting performance compared with other baseline models. However, it does not provide quantitative results on energy savings or cost reductions.']                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_20 | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | ['The proposed federated learning (FL) based deep learning model in this paper can identify household characteristics in a decentralized manner. However, it does not provide quantitative results on energy savings or cost reductions.']                                                                                                                        | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| paper_21 | ['Load switching: The proposed FedREP framework in this paper can achieve sufficient performance in terms of MSE for REPs energy load forecasting while preserving privacy and improving scalability. This framework could potentially be used for load switching in smart grids.']                                                                                                                                                                                                 | ['The proposed FedREP framework in this paper can achieve sufficient performance in terms of MSE for REPs energy load forecasting while preserving privacy and improving scalability. However, it does not provide quantitative results on energy savings or cost reductions.']                                                                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Paper 1  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 2  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 3  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 4  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 5  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 6  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 7  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 8  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 9  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['The method learns the model parameters from the data distributed in multiple edge nodes, allowing accurate load forecasting without compromising privacy. This can contribute to the stable and efficient management and dispatching of power systems, which is important for the integration of renewable energy sources into the grid.']                                                                                                                                                       |
| Paper 10 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 11 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['The proposed method effectively generates accurate load forecasting and reduces the data security risk under the condition that the data of each edge node does not come out of its location. This can be useful for the stable and efficient management explained in Paper 9.']                                                                                                                                                                                                                 |
| Paper 12 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 13 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['The proposed federated learning-based approach can achieve a ∼5% improvement in model performance with a ∼10x reduction in computation compared to localised learning. The method also suggests private aggregation of predictions for building a private end-to-end energy demand forecasting application, preserving the privacy of the underlying data and thus allowing more accurate load forecasting for efficient management and integration of renewable energy sources into the grid.'] |
| Paper 14 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 15 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['The architecture can group users according to consumption similarities or socioeconomic affinities. This can lead to similar forecasting performance to a state-of-the-art centralized solution while keeping sensitive data local, ensuring user privacy for efficient management and integration of renewable energy sources into the grid.']                                                                                                                                                  |
| Paper 16 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['The DPEFL method can create models with high forecasting performance while achieving different levels of privacy guarantees. This can contribute to the stable and efficient management and dispatching of power systems, which is important for the integration of renewable energy sources into the grid.']                                                                                                                                                                                    |
| Paper 17 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['The proposed federated learning framework can increase forecasting accuracy while preserving the data privacy of the end-users. This can be useful for the stable and efficient management and operation of smart grids, supporting energy efficiency and occupant thermal comfort while also integrating renewable energy sources.']                                                                                                                                                            |
| Paper 18 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 19 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['The proposed deep federated adaptation approach has the best forecasting performance compared with other baseline models and the federated architecture of DFA has a remarkable superiority in computation time. This can contribute to the stable and efficient management and dispatching of power systems, which is important for the integration of renewable energy sources into the grid.']                                                                                                |
| Paper 20 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['N/A']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Paper 21 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                                                                                                               | ['The proposed FedREP federated learning framework can achieve sufficient performance in terms of MSE ranging between 0.3 to 0.4 and is relatively similar to that of a centralized approach while preserving privacy and improving scalability. This can be useful for the stable and efficient management and operation of smart grids, supporting energy efficiency and occupant thermal comfort while also integrating renewable energy sources into the grid.']                               |

MATCHES:
Applications of load forecasting (load switching, infrastructure development, etc.): 
Evaluation of energy savings and cost reduction: 
Impact on renewable energy integration: 
